0,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,1.0,1.0,0.0,0.0,0.92,0.17,0.0,255,11,0.04,0.07,0.0,0.0,1.0,1.0,0.0,0.0,2.0
0,2,11,0,46,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,149,0.0,0.0,0.0,0.0,1.0,0.0,0.01,77,223,0.82,0.03,0.82,0.01,0.0,0.0,0.1,0.0,1.0
0,3,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,49,1.0,0.0,1.0,0.51,0.0,0.0,0.0,0.0,3.0
0,1,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,17,1.0,1.0,0.0,0.0,0.07,0.06,0.0,255,16,0.06,0.06,0.0,0.0,1.0,1.0,0.0,0.0,2.0
0,1,3,0,200,402,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,26,0.0,0.0,0.0,0.0,1.0,0.0,0.12,7,255,1.0,0.0,0.14,0.03,0.0,0.0,0.0,0.0,1.0
0,1,3,0,301,480,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2,11,0,46,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.0,0.0,0.0,0.0,1.0,0.0,0.75,16,15,0.94,0.12,0.06,0.0,0.0,0.0,0.0,0.0,1.0
0,1,3,0,196,14141,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,17,0.0,0.0,0.0,0.0,1.0,0.0,0.18,18,255,1.0,0.0,0.06,0.02,0.0,0.0,0.0,0.0,1.0
0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,1.0,0.92,0.0,0.08,1.0,0.0,0.15,12,12,1.0,0.0,0.08,0.0,1.0,1.0,0.0,0.0,2.0
0,3,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,120,1.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,3.0
0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,14,1.0,1.0,0.0,0.0,0.05,0.04,0.0,255,14,0.05,0.05,0.0,0.0,1.0,1.0,0.0,0.0,2.0
0,1,10,0,9,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.0,0.0,0.0,0.0,1.0,0.0,0.75,245,7,0.02,0.01,0.0,0.29,0.0,0.0,0.0,0.0,1.0
